Ref,Step no,Step,Substep — still to do,Actor,Mode,Precondition,Substep — done,Substep is new,Written to the trail when it fails,Shown to someone when it fails,Written to the trail when it works,Shown to someone when it works
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,,"feedback fetch refused — 410, the folder was swept
feedback fetch refused — 401, the session had expired  ← not built
feedback fetch refused — 403, a different party asked  ← not built
feedback fetch failed — storage unreachable  ← not built
feedback fetch stopped partway  ← not built
feedback pack build failed — too large to archive  ← not built
feedback never collected — 48h after hand-off  ← not built
feedback still incomplete — 1 of 2, 48h after hand-off  ← not built
feedback still incomplete — 1 of 3, 48h after hand-off  ← not built
feedback still incomplete — 1 of 4, 48h after hand-off  ← not built
feedback still incomplete — 1 of 5, 48h after hand-off  ← not built
feedback still incomplete — 2 of 3, 48h after hand-off  ← not built
feedback still incomplete — 2 of 4, 48h after hand-off  ← not built
feedback still incomplete — 2 of 5, 48h after hand-off  ← not built
feedback still incomplete — 3 of 4, 48h after hand-off  ← not built
feedback still incomplete — 3 of 5, 48h after hand-off  ← not built
feedback still incomplete — 4 of 5, 48h after hand-off  ← not built","Translator [operator portal] “That file is no longer available.”
Translator [operator portal] “Your session has expired. Please sign in again.”  ← not built
Translator [operator portal] “This submission isn’t assigned to you.”  ← not built
Translator [operator portal] “We couldn’t reach storage. Please try again in a moment.”  ← not built
Translator [operator portal] “That download didn’t finish — try it again.”  ← not built
Translator [operator portal] “We couldn’t build the archive. Download the files individually.”  ← not built
Admin [operator portal] “The translator hasn’t collected anything, 48h after hand-off.”  ← not built
Admin [operator portal] “The translator has 1 of 2 files.”  ← not built
Admin [operator portal] “The translator has 1 of 3 files.”  ← not built
Admin [operator portal] “The translator has 1 of 4 files.”  ← not built
Admin [operator portal] “The translator has 1 of 5 files.”  ← not built
Admin [operator portal] “The translator has 2 of 3 files.”  ← not built
Admin [operator portal] “The translator has 2 of 4 files.”  ← not built
Admin [operator portal] “The translator has 2 of 5 files.”  ← not built
Admin [operator portal] “The translator has 3 of 4 files.”  ← not built
Admin [operator portal] “The translator has 3 of 5 files.”  ← not built
Admin [operator portal] “The translator has 4 of 5 files.”  ← not built","feedback collected — 1 of 1  ← not built
feedback collected — 1 of 2  ← not built
feedback collected — 1 of 3  ← not built
feedback collected — 1 of 4  ← not built
feedback collected — 1 of 5  ← not built
feedback collected — 2 of 2  ← not built
feedback collected — 2 of 3  ← not built
feedback collected — 2 of 4  ← not built
feedback collected — 2 of 5  ← not built
feedback collected — 3 of 3  ← not built
feedback collected — 3 of 4  ← not built
feedback collected — 3 of 5  ← not built
feedback collected — 4 of 4  ← not built
feedback collected — 4 of 5  ← not built
feedback collected — 5 of 5  ← not built
feedback collected in one pack  ← not built","Translator [operator portal] the file downloads
Translator [operator portal] “Your file downloaded — you have the complete set.”  ← not built
Translator [operator portal] “All 2 files downloaded — you have the complete set.”  ← not built
Translator [operator portal] “All 3 files downloaded — you have the complete set.”  ← not built
Translator [operator portal] “All 4 files downloaded — you have the complete set.”  ← not built
Translator [operator portal] “All 5 files downloaded — you have the complete set.”  ← not built
Admin [operator portal] “The translator has started — first file collected.”  ← not built
Admin [operator portal] “The translator has the complete set.”  ← not built"
12a,12,Translating,Update Client,System,automated,automated — fires on the translator's first collection,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your feedback is being translated.”  ← not built,Customer [status page] “Your feedback is being translated.”  ← not built
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,,"feedback_translation rejected — over the size limit  ← not built
feedback_translation rejected — file type not supported  ← not built
feedback_translation rejected — the file was empty  ← not built
feedback_translation unmatched — no original to pair it with  ← not built
feedback_translation duplicate — that original already has a translation  ← not built
feedback_translation incomplete — 1 of 2 originals translated  ← not built
feedback_translation incomplete — 1 of 3 originals translated  ← not built
feedback_translation incomplete — 1 of 4 originals translated  ← not built
feedback_translation incomplete — 1 of 5 originals translated  ← not built
feedback_translation incomplete — 2 of 3 originals translated  ← not built
feedback_translation incomplete — 2 of 4 originals translated  ← not built
feedback_translation incomplete — 2 of 5 originals translated  ← not built
feedback_translation incomplete — 3 of 4 originals translated  ← not built
feedback_translation incomplete — 3 of 5 originals translated  ← not built
feedback_translation incomplete — 4 of 5 originals translated  ← not built","Translator [operator portal] “That file was rejected — too large, wrong type, or empty.”  ← not built
Translator [operator portal] “That file doesn’t match any original.”  ← not built
Translator [operator portal] “That original already has a translation.”  ← not built
Translator [operator portal] “1 of 2 originals still need a translation.”  ← not built
Translator [operator portal] “1 of 3 originals still need a translation.”  ← not built
Translator [operator portal] “1 of 4 originals still need a translation.”  ← not built
Translator [operator portal] “1 of 5 originals still need a translation.”  ← not built
Translator [operator portal] “2 of 3 originals still need a translation.”  ← not built
Translator [operator portal] “2 of 4 originals still need a translation.”  ← not built
Translator [operator portal] “2 of 5 originals still need a translation.”  ← not built
Translator [operator portal] “3 of 4 originals still need a translation.”  ← not built
Translator [operator portal] “3 of 5 originals still need a translation.”  ← not built
Translator [operator portal] “4 of 5 originals still need a translation.”  ← not built
Admin [operator portal] “1 of 2 originals have a translation.”  ← not built
Admin [operator portal] “1 of 3 originals have a translation.”  ← not built
Admin [operator portal] “1 of 4 originals have a translation.”  ← not built
Admin [operator portal] “1 of 5 originals have a translation.”  ← not built
Admin [operator portal] “2 of 3 originals have a translation.”  ← not built
Admin [operator portal] “2 of 4 originals have a translation.”  ← not built
Admin [operator portal] “2 of 5 originals have a translation.”  ← not built
Admin [operator portal] “3 of 4 originals have a translation.”  ← not built
Admin [operator portal] “3 of 5 originals have a translation.”  ← not built
Admin [operator portal] “4 of 5 originals have a translation.”  ← not built","files attached — 1 feedback_translation  ← not built
files attached — 2 feedback_translation  ← not built
files attached — 3 feedback_translation  ← not built
files attached — 4 feedback_translation  ← not built
files attached — 5 feedback_translation  ← not built
feedback_translation paired to its original — 1 of 1  ← not built
feedback_translation paired to its original — 1 of 2  ← not built
feedback_translation paired to its original — 1 of 3  ← not built
feedback_translation paired to its original — 1 of 4  ← not built
feedback_translation paired to its original — 1 of 5  ← not built
feedback_translation paired to its original — 2 of 2  ← not built
feedback_translation paired to its original — 2 of 3  ← not built
feedback_translation paired to its original — 2 of 4  ← not built
feedback_translation paired to its original — 2 of 5  ← not built
feedback_translation paired to its original — 3 of 3  ← not built
feedback_translation paired to its original — 3 of 4  ← not built
feedback_translation paired to its original — 3 of 5  ← not built
feedback_translation paired to its original — 4 of 4  ← not built
feedback_translation paired to its original — 4 of 5  ← not built
feedback_translation paired to its original — 5 of 5  ← not built","Translator [operator portal] the file appears beside the original it translates  ← not built
Admin [operator portal] “Every original has a translation.”  ← not built
Translator [operator portal] “All 1 translated.”  ← not built
Translator [operator portal] “All 2 translated.”  ← not built
Translator [operator portal] “All 3 translated.”  ← not built
Translator [operator portal] “All 4 translated.”  ← not built
Translator [operator portal] “All 5 translated.”  ← not built"
13a,13,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,yes,"⑦ translated → Admin failed  ← not built
⑦ translated → Admin bounced  ← not built",Admin [operator portal] a banner on the row — “The translation notice bounced.”  ← not built,"⑦ translated → Admin  ← not built
⑦ translated → Admin delivered  ← not built",Admin [email] ⑦ the translation is back  ← not built
13b,13,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,yes,"⑦ received → translator failed  ← not built
⑦ received → translator bounced — hard  ← not built
⑦ received → translator bounced — soft  ← not built
⑦ received → translator bounced  ← not built
⑦ received → translator complained  ← not built",Admin [operator portal] a banner on the row — “The translator’s receipt bounced. They don’t know the translation arrived.”  ← not built,"⑦ received → translator  ← not built
⑦ received → translator delivered  ← not built",Translator [email] ⑦ we have your translation  ← not built
13c,13,Translated,Assess Translation,Admin,manual,"manual — approves the translation, or returns it with a reason",Translation Assessed,yes,"⑦ approved → translator failed  ← not built
⑦ approved → translator bounced — hard  ← not built
⑦ approved → translator bounced — soft  ← not built
⑦ approved → translator bounced  ← not built
⑦ approved → translator complained  ← not built
⑦ returned → translator failed  ← not built
⑦ returned → translator bounced — hard  ← not built
⑦ returned → translator bounced — soft  ← not built
⑦ returned → translator bounced  ← not built
⑦ returned → translator complained  ← not built","Admin [operator portal] “There’s nothing in the translated folder to assess.”  ← not built
Admin [operator portal] “Say why it’s going back — the translator only gets what you write here.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","translation approved — every original covered. Proceeding to Step 14  ← not built
translation rejected — sent back for rework. Returning to Step 12  ← not built
⑦ approved → translator  ← not built
⑦ approved → translator delivered  ← not built
⑦ returned → translator  ← not built
⑦ returned → translator delivered  ← not built","Admin [operator portal] “Approved — moving to Step 14.”  ← not built
Admin [operator portal] “Returned for rework — back to Step 12.”  ← not built
Translator [email] ⑦ your translation was approved  ← not built
Translator [email] ⑦ your translation was returned, with the reason  ← not built
Translator [operator portal] “This came back — see the note and re-upload.”  ← not built"
14a,14,Deliver,Update Client,System,automated,automated — fires only when arriving from step 13; untranslated feedback skips it,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your feedback has been translated.”  ← not built,Customer [status page] “Your feedback has been translated.”  ← not built
14b,14,Deliver,Release Feedback,Admin,manual,manual — chooses the set and releases it,Feedback Released,,"release refused — nothing in the feedback folder  ← not built
release refused — no set chosen  ← not built
release refused — already delivered  ← not built
release failed — the delivery stamp didn’t land  ← not built","Admin [operator portal] “There is no feedback file to send yet.”  ← not built
Admin [operator portal] “Choose which set the client receives.”  ← not built
Admin [operator portal] “This has already been sent. Reload to see where it is.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","approved — original set released  ← not built
approved — translated set released  ← not built
approved — both sets released  ← not built
delivered — the client may now collect. Proceeding to 14c  ← not built
retention backstop started — 90 days from delivery  ← not built","Admin [operator portal] the row moves to Delivered
Admin [operator portal] “Released — the client is being emailed.”  ← not built
Admin [operator portal] “Kept until {date} unless they collect sooner.”  ← not built"
14c,14,Deliver,Send Feedback,System,automated,automated — fires on release,Feedback Sent,,"⑧ feedback ready → customer failed
⑧ feedback ready → customer bounced — hard
⑧ feedback ready → customer bounced — soft
⑧ feedback ready → customer bounced
⑧ feedback ready → customer complained",Admin [operator portal] a banner on the row — “{customer} never received this. They don’t know it’s ready.”  ← not built,"⑧ feedback ready → customer
⑧ feedback ready → customer delivered","Customer [email] ⑧ feedback ready, stating the retention window"
14d,14,Deliver,Update Client,System,automated,automated — fires on release,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your feedback is ready to collect.”  ← not built,Customer [status page] “Your feedback is ready to collect.”  ← not built
14e,14,Deliver,Customer Downloads,Customer,manual,manual — collects from the status page,Customer Downloaded,,"customer fetch refused — 410, the folder was swept
customer fetch refused — 401, the session had expired  ← not built
customer fetch refused — 403, a different party asked  ← not built
customer fetch failed — storage unreachable  ← not built
customer fetch stopped partway  ← not built
customer pack build failed — too large to archive  ← not built
customer never collected — 48h after hand-off  ← not built
customer still incomplete — 1 of 2, 48h after hand-off  ← not built
customer still incomplete — 1 of 3, 48h after hand-off  ← not built
customer still incomplete — 1 of 4, 48h after hand-off  ← not built
customer still incomplete — 1 of 5, 48h after hand-off  ← not built
customer still incomplete — 2 of 3, 48h after hand-off  ← not built
customer still incomplete — 2 of 4, 48h after hand-off  ← not built
customer still incomplete — 2 of 5, 48h after hand-off  ← not built
customer still incomplete — 3 of 4, 48h after hand-off  ← not built
customer still incomplete — 3 of 5, 48h after hand-off  ← not built
customer still incomplete — 4 of 5, 48h after hand-off  ← not built","Customer [status page] “That file is no longer available.”
Customer [status page] “Your session has expired. Please sign in again.”  ← not built
Customer [status page] “This submission isn’t assigned to you.”  ← not built
Customer [status page] “We couldn’t reach storage. Please try again in a moment.”  ← not built
Customer [status page] “That download didn’t finish — try it again.”  ← not built
Customer [status page] “We couldn’t build the archive. Download the files individually.”  ← not built
Admin [operator portal] “The customer hasn’t collected anything, 48h after hand-off.”  ← not built
Admin [operator portal] “The customer has 1 of 2 files.”  ← not built
Admin [operator portal] “The customer has 1 of 3 files.”  ← not built
Admin [operator portal] “The customer has 1 of 4 files.”  ← not built
Admin [operator portal] “The customer has 1 of 5 files.”  ← not built
Admin [operator portal] “The customer has 2 of 3 files.”  ← not built
Admin [operator portal] “The customer has 2 of 4 files.”  ← not built
Admin [operator portal] “The customer has 2 of 5 files.”  ← not built
Admin [operator portal] “The customer has 3 of 4 files.”  ← not built
Admin [operator portal] “The customer has 3 of 5 files.”  ← not built
Admin [operator portal] “The customer has 4 of 5 files.”  ← not built","customer collected — 1 of 1  ← not built
customer collected — 1 of 2  ← not built
customer collected — 1 of 3  ← not built
customer collected — 1 of 4  ← not built
customer collected — 1 of 5  ← not built
customer collected — 2 of 2  ← not built
customer collected — 2 of 3  ← not built
customer collected — 2 of 4  ← not built
customer collected — 2 of 5  ← not built
customer collected — 3 of 3  ← not built
customer collected — 3 of 4  ← not built
customer collected — 3 of 5  ← not built
customer collected — 4 of 4  ← not built
customer collected — 4 of 5  ← not built
customer collected — 5 of 5  ← not built
customer collected in one pack  ← not built","Customer [status page] the file downloads
Customer [status page] “Your file downloaded — you have the complete set.”  ← not built
Customer [status page] “All 2 files downloaded — you have the complete set.”  ← not built
Customer [status page] “All 3 files downloaded — you have the complete set.”  ← not built
Customer [status page] “All 4 files downloaded — you have the complete set.”  ← not built
Customer [status page] “All 5 files downloaded — you have the complete set.”  ← not built
Admin [operator portal] “The customer has started — first file collected.”  ← not built
Admin [operator portal] “The customer has the complete set.”  ← not built"
15a,15,Collected,Inform Admin,System,automated,automated — fires on the customer's first collection,Admin Informed,,"⑨ collected → Admin failed
⑨ collected → Admin bounced — hard
⑨ collected → Admin bounced — soft
⑨ collected → Admin bounced
⑨ collected → Admin complained",Admin [operator portal] a banner on the row — “The collection notice bounced.”  ← not built,"⑨ collected → Admin
⑨ collected → Admin delivered",Admin [email] ⑨ collected — the customer has it
15b,15,Collected,Update Client,System,automated,automated — fires on the customer's first collection,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Thanks — you've collected your feedback.”  ← not built,Customer [status page] “Thanks — you've collected your feedback.”  ← not built
15c,15,Collected,Mark Resolved,Admin,manual,manual — closes the job,Marked Resolved,,,Admin [operator portal] “That didn’t go through — try again.”  ← not built,"resolved by an admin  ← not built
resolved — retention clock set to {date}  ← not built",Admin [operator portal] the row moves to Resolved
16a,16,Resolved,Send Thank-You,System,automated,automated — fires on resolve,Thank-You Sent,,"⑩ thank you → customer failed
⑩ thank you → customer bounced — hard
⑩ thank you → customer bounced — soft
⑩ thank you → customer bounced
⑩ thank you → customer complained",Admin [operator portal] a banner on the row — “The thank-you bounced.”  ← not built,"⑩ thank you → customer
⑩ thank you → customer delivered","Customer [email] ⑩ thank you, carrying the deletion date"
16b,16,Resolved,Update Client,System,automated,automated — fires on resolve,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Resolved. Your files are kept until {date}.”  ← not built,Customer [status page] “Resolved. Your files are kept until {date}.”  ← not built
16c,16,Resolved,Reach Warning Date,System,automated,"automated — the nightly sweep, on the later of the two clocks",Warning Date Reached,,,"Admin [operator portal] “The nightly sweep has not run since {date}.”  ← not built
Admin [operator portal] “CRON_SECRET is unset — the sweep refuses to run rather than run unguarded.”  ← not built","warning due — 30 days from collection  ← not built
warning due — 90 days from delivery  ← not built",Admin [operator portal] the row moves to Deleting
17a,17,Deleting,Send Warning,System,automated,automated — the nightly sweep,Warning Sent,,"⑪ deletion warning → customer failed
⑪ deletion warning → customer bounced — hard
⑪ deletion warning → customer bounced — soft
⑪ deletion warning → customer bounced
⑪ deletion warning → customer complained","Admin [operator portal] “The deletion warning to {customer} did not send. They have no notice, and it will not retry.”  ← not built","⑪ deletion warning → customer
⑪ deletion warning → customer delivered","Customer [email] ⑪ the deletion warning, a week out"
17b,17,Deleting,Update Client,System,automated,automated — fires on the warning,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your files will be deleted on {date}.”  ← not built,Customer [status page] “Your files will be deleted on {date}.”  ← not built
17c,17,Deleting,Delete Files,System,automated,"automated — the nightly sweep, a week after the warning",Files Deleted,,,"Admin [operator portal] “Storage refused the delete — {n} files are still there.”  ← not built
Admin [operator portal] the locator stays and the sweep retries tomorrow  ← not built","swept — every folder, together  ← not built
swept by the nightly cron  ← not built
purged early by an admin override  ← not built","Customer [status page] any link they kept now answers 410
Admin [operator portal] the filenames show struck through in the folders"
18a,18,Purged,Remove Bytes,System,automated,automated — the nightly sweep,Bytes Removed,,,,"bytes removed — {n} files, {size} freed  ← not built",Admin [operator portal] the filenames show struck through in the folders
18b,18,Purged,Clear Locators,System,automated,automated — the nightly sweep,Locators Cleared,,,,locators cleared — the rows survive  ← not built,"Customer [status page] an old link answers 410 — gone, not missing"
18c,18,Purged,Update Client,System,automated,automated — fires on the purge,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your files have been deleted. The record of your submission is kept.”  ← not built,Customer [status page] “Your files have been deleted. The record of your submission is kept.”  ← not built
18d,18,Purged,Keep Record,System,automated,automated — nothing further is written,Record Kept,,,,record kept — nothing further is written  ← not built,"Admin [operator portal] the row still says what was sent, forever"
