Ref,Step no,Step,Substep — still to do,Actor,Mode,Precondition,Substep — done,Column,Kind,Outcome,Audience,Surface,Text,Built
6a,6,Translating,Update Client,System,automated,automated — fires on the translator's first collection,Client Updated,Written to the trail when it works,trail row,works,,,client status — “Your files are being translated.”,no
6a,6,Translating,Update Client,System,automated,automated — fires on the translator's first collection,Client Updated,Shown to someone when it works,message,works,Customer,status page,“Your files are being translated.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation rejected — over the size limit,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation rejected — file type not supported,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation rejected — the file was empty,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation unmatched — no original to pair it with,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation duplicate — that original already has a translation,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 1 of 2 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 1 of 3 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 1 of 4 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 1 of 5 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 2 of 3 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 2 of 4 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 2 of 5 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 3 of 4 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 3 of 5 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it fails,trail row,fails,,,intake_translation incomplete — 4 of 5 originals translated,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,"“That file was rejected — too large, wrong type, or empty.”",no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“That file doesn’t match any original.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“That original already has a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“1 of 2 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“1 of 3 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“1 of 4 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“1 of 5 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“2 of 3 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“2 of 4 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“2 of 5 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“3 of 4 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“3 of 5 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“4 of 5 originals still need a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“1 of 2 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“1 of 3 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“1 of 4 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“1 of 5 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“2 of 3 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“2 of 4 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“2 of 5 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“3 of 4 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“3 of 5 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it fails,message,fails,Admin,operator portal,“4 of 5 originals have a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,files attached — 1 intake_translation,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,files attached — 2 intake_translation,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,files attached — 3 intake_translation,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,files attached — 4 intake_translation,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,files attached — 5 intake_translation,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 1 of 1,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 1 of 2,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 1 of 3,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 1 of 4,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 1 of 5,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 2 of 2,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 2 of 3,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 2 of 4,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 2 of 5,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 3 of 3,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 3 of 4,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 3 of 5,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 4 of 4,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 4 of 5,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Written to the trail when it works,trail row,works,,,intake_translation paired to its original — 5 of 5,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it works,message,works,Translator,operator portal,the file appears beside the original it translates,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it works,message,works,Admin,operator portal,“Every original has a translation.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it works,message,works,Translator,operator portal,“All 1 translated.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it works,message,works,Translator,operator portal,“All 2 translated.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it works,message,works,Translator,operator portal,“All 3 translated.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it works,message,works,Translator,operator portal,“All 4 translated.”,no
6b,6,Translating,Upload Translations,Translator,manual,manual — uploads each file against its original,Translations Uploaded,Shown to someone when it works,message,works,Translator,operator portal,“All 5 translated.”,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,④ translated → Admin failed,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,④ translated → Admin bounced — hard,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,④ translated → Admin bounced — soft,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,④ translated → Admin bounced,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,④ translated → Admin complained,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Shown to someone when it fails,message,fails,Admin,operator portal,a banner on the row — “The translation notice bounced.”,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Written to the trail when it works,trail row,works,,,④ translated → Admin,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Written to the trail when it works,trail row,works,,,④ translated → Admin delivered,no
7a,7,Translated,Inform Admin,System,automated,automated — fires when the last translation lands,Admin Informed,Shown to someone when it works,message,works,Admin,email,④ the translations are back,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Written to the trail when it fails,trail row,fails,,,④ received → translator failed,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Written to the trail when it fails,trail row,fails,,,④ received → translator bounced — hard,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Written to the trail when it fails,trail row,fails,,,④ received → translator bounced — soft,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Written to the trail when it fails,trail row,fails,,,④ received → translator bounced,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Written to the trail when it fails,trail row,fails,,,④ received → translator complained,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Shown to someone when it fails,message,fails,Admin,operator portal,a banner on the row — “The translator’s receipt bounced. They don’t know the translations arrived.”,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Written to the trail when it works,trail row,works,,,④ received → translator,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Written to the trail when it works,trail row,works,,,④ received → translator delivered,no
7b,7,Translated,Inform Translator,System,automated,automated — fires when the last translation lands,Translator Informed,Shown to someone when it works,message,works,Translator,email,④ we have your translations,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ approved → translator failed,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ approved → translator bounced — hard,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ approved → translator bounced — soft,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ approved → translator bounced,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ approved → translator complained,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ returned → translator failed,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ returned → translator bounced — hard,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ returned → translator bounced — soft,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ returned → translator bounced,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it fails,trail row,fails,,,④ returned → translator complained,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it fails,message,fails,Admin,operator portal,“There’s nothing in the translated folder to assess.”,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it fails,message,fails,Admin,operator portal,“Say why it’s going back — the translator only gets what you write here.”,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it fails,message,fails,Admin,operator portal,“Choose which set the coach receives.”,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it fails,message,fails,Admin,operator portal,“That didn’t go through — try again.”,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,hand-off set chosen — originals,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,hand-off set chosen — translations,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,hand-off set chosen — both,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,translations approved — every original covered. Proceeding to Step 8,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,translations rejected — sent back for rework. Returning to Step 6,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,④ approved → translator,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,④ approved → translator delivered,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,④ returned → translator,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Written to the trail when it works,trail row,works,,,④ returned → translator delivered,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it works,message,works,Admin,operator portal,“Approved — moving to Step 8.”,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it works,message,works,Admin,operator portal,“Returned for rework — back to Step 6.”,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it works,message,works,Translator,email,④ your translation was approved,no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it works,message,works,Translator,email,"④ your translation was returned, with the reason",no
7c,7,Translated,Assess Translations,Admin,manual,"manual — approves or returns, and picks which set the coach gets",Translations Assessed,Shown to someone when it works,message,works,Translator,operator portal,“This came back — see the note and re-upload.”,no
8a,8,Sent,Update Client,System,automated,automated — fires only when arriving from step 7; untranslated submissions skip it,Client Updated,Written to the trail when it fails,trail row,fails,,,client status update failed — the page still shows the previous line,no
8a,8,Sent,Update Client,System,automated,automated — fires only when arriving from step 7; untranslated submissions skip it,Client Updated,Shown to someone when it fails,message,fails,Admin,operator portal,“The client’s status page didn’t update — it still shows the previous step.”,no
8a,8,Sent,Update Client,System,automated,automated — fires only when arriving from step 7; untranslated submissions skip it,Client Updated,Written to the trail when it works,trail row,works,,,client status — “Your files have been translated.”,no
8a,8,Sent,Update Client,System,automated,automated — fires only when arriving from step 7; untranslated submissions skip it,Client Updated,Shown to someone when it works,message,works,Customer,status page,“Your files have been translated.”,no
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → coach failed,yes
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → coach bounced — hard,yes
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → coach bounced — soft,yes
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → coach bounced,yes
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Written to the trail when it fails,trail row,fails,,,③ hand-off → coach complained,yes
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach never received this — they don’t know they have work.”,no
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Written to the trail when it works,trail row,works,,,③ hand-off → coach,yes
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Written to the trail when it works,trail row,works,,,③ hand-off → coach delivered,yes
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Shown to someone when it works,message,works,Coach,email,"③ the hand-off, with a download link per file",yes
8b,8,Sent,Inform Coach,System,automated,automated — fires on arrival at Sent; the set was chosen at 7c,Coach Informed,Shown to someone when it works,message,works,Admin,operator portal,the set that was sent is recorded against the submission,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach fetch refused — 410, the folder was swept",yes
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach fetch refused — 401, the session had expired",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach fetch refused — 403, a different party asked",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,coach fetch failed — storage unreachable,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,coach fetch stopped partway,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,coach pack build failed — too large to archive,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,coach never collected — 48h after hand-off,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 1 of 2, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 1 of 3, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 1 of 4, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 1 of 5, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 2 of 3, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 2 of 4, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 2 of 5, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 3 of 4, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 3 of 5, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it fails,trail row,fails,,,"coach still incomplete — 4 of 5, 48h after hand-off",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Coach,operator portal,“That file is no longer available.”,yes
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Coach,operator portal,“Your session has expired. Please sign in again.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Coach,operator portal,“This submission isn’t assigned to you.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Coach,operator portal,“We couldn’t reach storage. Please try again in a moment.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Coach,operator portal,“That download didn’t finish — try it again.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Coach,operator portal,“We couldn’t build the archive. Download the files individually.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,"“The coach hasn’t collected anything, 48h after hand-off.”",no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 1 of 2 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 1 of 3 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 1 of 4 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 1 of 5 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 2 of 3 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 2 of 4 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 2 of 5 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 3 of 4 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 3 of 5 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The coach has 4 of 5 files.”,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it works,trail row,works,,,coach collected — 1 of 1,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it works,trail row,works,,,coach collected — 1 of 2,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it works,trail row,works,,,coach collected — 1 of 3,no
8c,8,Sent,Coach Downloads,Coach,manual,manual — collects the pack,Coach Downloaded,Written to the trail when it works,trail row,works,,,coach collected — 1 of 4,no
